"id","nutriscore_grade","ecoscore_grade","nova_groups_tags","countries_hierarchy","brand_tags","categories_hierarchy"
"681322","unknown","unknown","['unknown']","['en:united-states']","['trader-joe-s']","unknown"
"850000411029","not-applicable","unknown","['en:3-processed-foods']","['en:united-states']","['xx:serenity-kids']","['en:baby-foods']"
"4099100064841","d","b","['en:1-unprocessed-or-minimally-processed-foods']","['en:united-states']","['aldi']","""['en:condiments'"
"85239085738","unknown","unknown","['en:1-unprocessed-or-minimally-processed-foods']","['en:united-states']","['good-gather']","""['en:plant-based-foods-and-beverages'"
"74699010237","unknown","d","['en:3-processed-foods']","['en:united-states']","['twin-dragon']","""['en:meals'"
"7500462317515","unknown","unknown","['unknown']","['en:united-states']","['valle-nuevo']","unknown"
"28400137034","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"96619228188","b","e","['en:3-processed-foods']","['en:united-states']","['kirkland']","""['en:plant-based-foods-and-beverages'"
"814558021093","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"85300040","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"72037300","c","d","['unknown']","['en:united-states']","['harris-teeter']","""['en:dairies'"
"720516010538","unknown","unknown","['unknown']","""['en:new-zealand'"," 'en:united-states']""","['orgran']"
"49000071542","e","a","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['gold-peak']","""['en:plant-based-foods-and-beverages'"
"4015808080013","unknown","unknown","['unknown']","""['en:germany'"," 'en:united-states']""","""['xx:feinfix'"
"4099100137682","c","d","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['aldi']","""['en:beverages-and-beverages-preparations'"
"16571955045","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"78742298542","e","c","['unknown']","['en:united-states']","[]","""['en:snacks'"
"850005582298","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"53600000673","b","unknown","['unknown']","['en:united-states']","['la-yogurt']","""['en:dairies'"
"758108684447","d","b","['en:3-processed-foods']","['en:united-states']","unknown","""['en:plant-based-foods-and-beverages'"
"810003460554","unknown","unknown","['unknown']","['en:united-states']","['original-taste-caramel-popcorn']","unknown"
"28400637695","d","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['xx:lay-s']","['en:snacks']"
"21160202","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"740913001762","unknown","unknown","['unknown']","['en:united-states']","['mahjoub']","[]"
"632930605811","unknown","unknown","['en:2-processed-culinary-ingredients']","""['en:united-states'"," 'en:world']""","['viva-naturals']"
"646670311642","unknown","unknown","['unknown']","""['en:united-states'"," 'en:world']""","""['sprouts'"
"41800479108","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['welch-s']","unknown"
"80842","a","a","['unknown']","['en:united-states']","['trader-joes']","""['en:plant-based-foods-and-beverages'"
"628615338013","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"16000163614","d","e","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['cheerios']","""['en:plant-based-foods-and-beverages'"
"78411108233","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"725439200813","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"78742329895","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['great-value']","unknown"
"725439200219","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"688267551727","c","b","['unknown']","['en:united-states']","['nature-s-promise']","""['en:condiments'"
"898249002325","unknown","unknown","['unknown']","['en:united-states']","['catania-worldwide']","unknown"
"725439200752","unknown","d","['unknown']","['en:united-states']","unknown","""['en:plant-based-foods-and-beverages'"
"851921006448","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","""['en:united-states'"," 'en:world']""","['sola']"
"910552","d","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['trader-joe-s']","""['en:plant-based-foods-and-beverages'"
"766536034017","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","[]","[]"
"537438","unknown","unknown","['unknown']","['en:united-states']","""['trader-joe-s'"," 'trader-giotto-s']"""
"72310020580","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['bigelow']","""['en:plant-based-foods-and-beverages'"
"11110889621","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['simple-truth-organic']","unknown"
"80475001320","c","a","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['elie-baking-corp']","""['en:plant-based-foods-and-beverages'"
"4099100022896","c","b","['en:3-processed-foods']","['en:united-states']","['simply-nature']","""['en:snacks'"
"4099100117363","d","unknown","['en:3-processed-foods']","['en:united-states']","""['clancy-s'"," 'aldi']"""
"7797675001953","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"4099100001068","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['aldi']","unknown"
"30034091996","c","d","['unknown']","['en:united-states']","['giant-eagle']","""['en:plant-based-foods-and-beverages'"
"77901004901","d","d","['unknown']","['en:united-states']","['president']","""['en:dairies'"
"733147235768","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"665384","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"38483245809","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"814305013555","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"39779020049","a","c","['unknown']","['en:united-states']","['kwik-trip']","""['en:farming-products'"
"610546651217","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"711716145274","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"651912","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['trader-joe-s']","""['en:dairies'"
"345802063366","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"79200049348","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"605298","d","b","['en:2-processed-culinary-ingredients']","['en:united-states']","['trader-joe-s']","""['en:breakfasts'"
"810001560485","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"49101004043","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"653341400260","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"52100005935","unknown","unknown","['unknown']","['en:united-states']","['mccormick']","unknown"
"30000566763","unknown","unknown","['unknown']","['en:united-states']","""['quaker'"," 'quaker-oats']"""
"78742009889","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['spring-valley']","['en:dietary-supplements']"
"4099100142396","unknown","unknown","['unknown']","['en:united-states']","['friendly-farms']","unknown"
"31484040299","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"856716008201","d","e","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","""['en:plant-based-foods-and-beverages'"
"242748105993","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"671635732538","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"671635702500","unknown","unknown","['unknown']","['en:united-states']","['thrive-market']","unknown"
"20138440011","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"818290011749","c","e","['unknown']","['en:united-states']","['chobani']","""['en:beverages'"
"621977","unknown","b","['unknown']","['en:united-states']","['trader-joe-s']","""['en:breakfasts'"
"691055","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['trader-joe-s']","unknown"
"635561","unknown","unknown","['unknown']","['en:united-states']","['trader-joe-s']","unknown"
"827624669457","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"655852003527","unknown","unknown","['unknown']","['en:united-states']","['aurora-natural']","unknown"
"70074642949","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"4099100155907","c","c","['unknown']","['en:united-states']","['simply-nature']","""['en:plant-based-foods-and-beverages'"
"4099100112870","d","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","""['specially-selected'"," 'aldi']"""
"41573056087","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","[]","""['en:plant-based-foods-and-beverages'"
"2508908","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"4099100039559","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"5270512","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"41633001439","unknown","unknown","['unknown']","['en:united-states']","['better-made']","unknown"
"711381315262","unknown","b","['unknown']","['en:united-states']","['stonewall-kitchen']","""['en:condiments'"
"52100049915","a","unknown","['en:3-processed-foods']","['en:united-states']","['mccormick']","""['en:condiments'"
"811538010238","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"83664868919","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"78742060064","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"539845","unknown","unknown","['unknown']","['en:united-states']","['trader-giotto-s']","unknown"
"19320013782","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"82592011374","unknown","unknown","['unknown']","""['en:united-states'"," 'en:world']""","['naked']"
"844197026524","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"85657700","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"74471000500","unknown","unknown","['unknown']","['en:united-states']","['xx:cafe-bustelo']","""['en:plant-based-foods-and-beverages'"
"620482","unknown","unknown","['unknown']","['en:united-states']","['trader-joe-s']","unknown"
